ID,BndCd,Z,VAr,CAr,Curv,EdgL,Slp,FWidth,Aspect,SV,LV,AvSM,AvRtM,HOccr,HRt,SbOccr,SbRt,POccr,PRt,SatOccr,SatRt,SoiSatOccr,RchDsch,AvET,EvpFrct,cET,cEsoil,cLHF,cMelt,cSHF,cPHF,cRLIn,cRLo,cRSIn,cGHF,cUErr,cHrsSun,cHrsSnow,persTime,peakWE,initTime,peakTime,cIntSub,cSnSub,cSnEvap,cIntUnl,AvCanStorParam,AvIntercCoeff,AvTF,AvCanFieldCap,AvDrainCoeff,AvDrainExpPar,AvLUAlb,AvVegHeight,AvOTCoeff,AvStomRes,AvVegFract,AvLeafAI,AvEvapThresh,AvTransThresh,Bedrock_Depth_mm,Ks,ThetaS,ThetaR,PoreSize,AirEBubPress,DecayF,SatAnRatio,UnsatAnRatio,Porosity,VolHeatCond,SoilHeatCap,SoilID,LandUseID,weight
35.0,0,411.1,2315.562,0.002315562,-0.213876,34.3691,0.213876,22.7152,3.321,0.9889422,0,0.4697,0.5395,13,33.8,0,0,0,0,0,0,16,0.0163,0.04449,0.2757,66.66,23.77,0,0,0,0,0,0,1950878000.0,0,0,1223,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1962.868,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,1,0.00041127227089068967
36.0,0,565.4,703.9386,0.0007039386,-0.56737,15.8406,0.56737,21.1977,1.807,0.9348799,0,0.5706,0.7565,13,33.8,0,0,0,0,0,0,15,0.0503,0.03929,0.2448,57.54,23.49,0,0,0,0,0,0,1950878000.0,0,0,1012,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1199.473,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.00012502814720124654
37.0,0,778.8,3634.501,0.003634501,-0.857653,84.4607,0.857653,43.0095,3.133,0.8795326,0,0.5685,0.751,13,29.3,0,0,0,0,0,0,15,0.0481,0.04115,0.2506,60.34,25.8,0,0,0,0,0,0,1950878000.0,0,0,1104,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1209.927,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0006455320478676376
38.0,0,413.1,2161.715,0.002161715,-0.0214052,44.9156,0.0214052,44.8582,4.0,0.9998855,0,0.4718,0.5428,13,34.5,0,0,0,0,0,0,16,0.0206,0.04427,0.2755,65.42,22.79,0,0,0,0,0,0,1950878000.0,0,0,1264,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1939.736,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,1,0.0003839471528158034
39.0,0,439.0,2309.42,0.00230942,-0.170478,46.696,0.170478,48.2823,5.211,0.9928889,0,0.5592,0.7304,14,33.3,0,0,0,0,0,0,17,0.038,0.04114,0.2353,61.78,17.18,0,0,0,0,0,0,1950878000.0,0,0,1231,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1260.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,2,0.0004101813762017068
40.0,0,770.7,3134.566,0.003134566,-0.703122,67.7178,0.703122,40.959,2.49,0.9090151,0,0.5685,0.7519,13,31.8,0,0,0,0,0,0,15,0.0548,0.04018,0.2489,58.58,24.49,0,0,0,0,0,0,1950878000.0,0,0,1104,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1209.936,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0005567374473569464
41.0,0,513.0,3260.226,0.003260226,-0.509691,51.1478,0.509691,59.4703,0.1769,0.9454734,0,0.5783,0.7736,13,33.8,0,0,0,0,0,0,15,0.0609,0.04057,0.239,58.33,17.31,0,0,0,0,0,0,1950878000.0,0,0,1269,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1160.963,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,2,0.0005790562077961504
42.0,0,414.2,2129.278,0.002129278,-0.0258041,45.3848,0.0258041,20.4532,3.217,0.9998336,0,0.4826,0.5588,13,37.8,0,0,0,0,0,0,16,-0.0106,0.04905,0.2375,69.32,68.62,0,0,0,0,0,0,1950878000.0,0,0,1265,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.99,0.01,0.001,0.001,0.15,0.01,0.99,9999,0.01,0.01,0.37,0.3,1827.644,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,3,0.0003781859429449895
43.0,0,430.0,2771.705,0.002771705,-0.0818514,51.1158,0.0818514,49.6765,3.146,0.9983335,0,0.5227,0.6404,13,35.9,0,0,0,0,0,0,16,0.0424,0.04108,0.2461,60.56,23.18,0,0,0,0,0,0,1950878000.0,0,0,1255,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1490.428,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,2,1,0.0004922888739705865
44.0,0,765.9,3339.672,0.003339672,-0.632353,67.7178,0.632353,46.7693,3.177,0.9225968,0,0.5642,0.7418,13,32.6,0,0,0,0,0,0,15,0.0482,0.04036,0.2462,59.77,24.7,0,0,0,0,0,0,1950878000.0,0,0,1104,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1232.627,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0005931667938366804
